epitope, glytoucan_id
142345,G58333GI
142346,G45505EQ
142347,G12008ZV
142348,G02913SN
142349,G28537KG
142350,G25402ER
142351,G06239NA
142352,G01935ET
142353,G81971FM
142354,G76960HQ
142355,G02074TV
142357,G83621YS
142358,G06384RG
142487,G74621DY
142490,G84224TW
143240,G33142IJ
143242,G62014XV
143243,G39403PY
143244,G93126IV
143248,G50540JU
143249,G01650PH
143250,G61459JW
143253,G96891HD
143254,G31123QY
143257,G14120VE
143258,G03067VG
143259,G36123IU
143260,G00031MO
143612,G89404OI
143613,G45295TK
143614,G91816TQ
143615,G02869XG
143616,G24150LT
143617,G73378AW
143620,G09037VU
143632,G53402KW
143642,G18253ON
143643,G20228HQ
143794,G00056MO
144143,G40183QN
144144,G85868UC
144556,G79535HZ
144824,G45735RK
144825,G39876AK
144826,G06067QZ
144985,G33142IJ
144987,G62763GO
144988,G55008YC
144989,G65806TH
144990,G16612QG
144991,G55205ZV
144994,G41383WH
144995,G96504YE
144996,G61491DK
144998,G58161NS
144999,G37582GI
145000,G71142DF
145001,G09546QO
145002,G58161NS
145003,G99269VI
145004,G70655MK
145005,G24612DZ
145006,G95586XS
145007,G40793FV
145008,G77833GE
145010,G58399BV
145012,G73108NW
145013,G70323CJ
145662,G61491DK
145663,G40564SW
145664,G42564VK
145665,G21344NX
145668,G72027KO
145669,G69726TU
145670,G19524AS
146098,G70457NB
146099,G70457NB
146100,G81533KY
146101,G70457NB
146103,G42097BP
146104,G00076PK
146105,G66098YQ
146106,G51108TQ
146107,G14630JE
146665,G49930HB
146666,G44597IF
146667,G57051AA
146668,G92369JP
146669,G90475DV
146670,G23882IG
146671,G33877CJ
146672,G87888RY
146673,G02240AO
146674,G72428ZU
146675,G34412FF
146676,G96920AL
146677,G97706WW
146678,G03602FC
146679,G40408WD
146680,G51366OS
146681,G13185HJ
146682,G21276IV
146683,G77983TT
146684,G74306CZ
146685,G17244IM
146686,G42473VS
146687,G69332FH
146688,G24082MA
146689,G62732KZ
146690,G01844UP
146691,G72818LZ
146692,G11337SV
146693,G92615ML
146694,G03499BP
147450,G01534TU
147451,G50886AE
147452,G71781OG
147453,G26141IA
147454,G29314BJ
147455,G81345OW
148488,G54786XQ
148489,G09469CJ
148490,G93336BM
148491,G00504NZ
148492,G54379AB
148493,G11971MR
148494,G63564LA
149135,G25787TL
149136,G31080DL
149137,G04673TZ
149138,G47773BX
149139,G84596VQ
149140,G60268QL
149141,G41869MU
149142,G04941YC
149143,G09494DM
149144,G58896AZ
149145,G51686WJ
149146,G00428TE
149147,G29751MN
149148,G97100OC
149149,G81735HL
149150,G49149HT
149151,G92056YD
149158,G42730YE
149159,G00033MO
149160,G64973KT
149161,G61972DW
149162,G65376QI
149163,G60925RS
149164,G22252VC
149165,G18505KX
149166,G38899NI
149167,G38899NI
149168,G38899NI
149169,G38899NI
149170,G43469BQ
149171,G22096KV
149172,G32319HH
149175,G31674LC
149176,G34068XZ
149177,G36370II
149178,G06564PZ
149179,G80141XN
149180,G39753DK
149549,G74060NY
149550,G90644MP
149551,G90007BL
149552,G48939HO
149553,G41106KQ
149554,G88393MK
149555,G39064VB
149556,G00047MO
149557,G01187XC
149558,G24432YB
149560,G71142DF
149561,G49963IQ
149562,G59682AL
149563,G88544LM
149564,G18076SX
149565,G03032GA
149566,G15291TI
149567,G70115XG
149568,G39896WY
149569,G53410DD
149570,G32968SR
150066,G09546QO
150067,G65889KE
150068,G19420CC
150072,G50850NI
150073,G58161NS
150074,G21095NL
150077,G68544GH
150092,G80587NA
150093,G03990GS
150094,G72284DO
150755,G45073TG
150756,G00651BY
150760,G50782IF
150762,G30207PZ
150763,G89102IF
150764,G85845NV
150765,G78769PZ
150766,G94435QH
150767,G35778AN
150787,G47641VY
150813,G68414II
150814,G73746MT
150899,G04616ST
150901,G27503UD
150908,G17489BR
150913,G27775IZ
150914,G15617BH
150915,G90434GH
150929,G67878TK
150930,G67878TK
150931,G45823XO
150932,G40245PC
150933,G77824XV
150935,G27885EZ
150936,G59731WR
150937,G97569KL
150938,G00055MO
150939,G45207BM
150940,G00058MO
150941,G46055MA
150942,G58548IQ
150943,G18413FD
150945,G99454KR
150946,G79333MY
150947,G74353FF
150948,G00068MO
150950,G13040AD
150951,G71416GU
150952,G88313DY
150953,G94956AW
151077,G51866FK
151079,G51964GO
151082,G65889KE
151083,G17389LJ
151524,G70457NB
151525,G70457NB
151526,G70457NB
151527,G92606DY
151530,G59326FB
151531,G80384UV
151532,G96636JK
151533,G22316RA
151534,G68958SS
151767,G87393DJ
151768,G65058YI
151769,G19436DI
151770,G72478VZ
151771,G36522MA
152206,G70323CJ
152210,G35439QP
152211,G31462CW
152212,G58612ZQ
152213,G33395TI
152214,G82576YO
152215,G76355TG
152216,G75442EJ
152217,G06000DZ
152218,G55958KV
153179,G70457NB
153181,G70457NB
153182,G22252VC
153183,G70457NB
153184,G22252VC
153185,G22252VC
153192,G76783HX
153193,G68436TJ
153194,G09546QO
153195,G25651TK
153196,G76370EX
153197,G81596CU
153198,G43195TR
153199,G87492XO
153201,G85378DV
153203,G95571UD
153204,G02789DS
153205,G60233WN
153206,G35915AS
153207,G97834OQ
153208,G15973YF
153209,G17480GI
153210,G02710ET
153211,G83638RK
153212,G42666HT
153213,G63472XV
153214,G21727XX
153215,G16353SN
153216,G82455MC
153217,G50348ER
153218,G65070VQ
153219,G48584TZ
153220,G77384RA
153222,G99315PE
153223,G66163TI
153225,G51744MD
153226,G49108TO
153227,G28567FT
153228,G96345HN
153229,G30807YB
153235,G00053MO
153236,G78152OD
153297,G87640MH
153298,G63368ZY
153299,G28041CB
153300,G78074HX
153301,G25824BY
153302,G30694ED
153303,G41843AO
153305,G93945AY
153306,G84149NT
153307,G17868RD
153308,G12058NC
153505,G71142DF
153506,G18531PK
153510,G12916RQ
153523,G10808TB
153524,G90020IL
153529,G63114QE
153530,G99348KL
153531,G46885EU
153532,G78193GH
153533,G68729PP
153534,G10779YW
153535,G20824DV
153536,G58507AZ
153537,G17108EX
153541,G50326XE
153542,G83633HB
153543,G52148JS
153552,G73108NW
153553,G66086EX
153554,G61036HM
153555,G61399NC
153556,G42346RJ
153557,G47715OE
153750,G62056VT
153751,G62434ND
153752,G30424NG
153753,G65857HN
153754,G90029XB
153755,G82643CK
153756,G55555OK
153758,G87918MK
153762,G58202EC
153763,G93681TB
153776,G08926IP
153777,G46613JI
153778,G61168WC
153779,G32679VL
153780,G66892DM
153911,G71142DF
153912,G84224TW
153913,G42184RF
153916,G77740ZZ
153917,G61838OR
153918,G06442CY
153919,G12684ZJ
153920,G15743XF
153921,G67944JB
153922,G15743XF
153923,G39287DS
153924,G39287DS
153925,G39287DS
153926,G39287DS
153927,G39287DS
153928,G39287DS
153929,G84224TW
156221,G24034CH
156486,G38303WG
156487,G73502EA
156488,G76772RR
156489,G29570QA
156490,G51610OT
156491,G49015IC
156492,G02298GE
156493,G08539FO
156494,G59103JC
156495,G95894VW
156496,G06996VN
156497,G37168BU
156499,G42553JB
156500,G94097TZ
156501,G41082WI
156502,G02187VY
156557,G38254OR
156558,G67527OA
156570,G74668VC
156571,G10879KX
156572,G86632HJ
156573,G45447JX
156574,G40532KX
156575,G60975HU
156578,G65889KE
156579,G65889KE
156580,G65889KE
156581,G65889KE
156582,G65889KE
156583,G65889KE
156813,G74121RX
156814,G86438JY
156815,G69790YW
156983,G26927BM
156984,G57321FI
156985,G57321FI
156987,G60366OX
156988,G21269SH
156989,G36222UC
156990,G20386CD
156991,G29322AW
156993,G30207PZ
156994,G09546QO
156996,G95341UA
156997,G97834OQ
156998,G00039MO
156999,G57321FI
157001,G94798MK
157002,G56682BC
157003,G30309UU
157004,G89208KM
157005,G97501MA
157006,G31734OS
158533,G59901EA
158538,G58161NS
158539,G47263UD
158540,G32969VW
158541,G30816RQ
158542,G30816RQ
158543,G66626SB
158544,G99053DY
158545,G32254QI
158546,G97013VN
158548,G75461VB
158549,G85278ER
158550,G26929DQ
158551,G44345UH
158552,G43081BK
158553,G32995RI
158554,G40034AJ
158555,G71142DF
158558,G45488BH
158559,G99412LR
158560,G16084OG
158624,G62189TC
158625,G62189TC
158627,G45735RK
158633,G03277YI
158634,G09546QO
158635,G09546QO
158637,G24190JN
158638,G06448UF
158639,G84859CY
158640,G87483TF
158641,G95888LK
159250,G93723GS
159251,G09546QO
159252,G78074HX
159254,G93723GS
159257,G93723GS
161054,G32918NU
161056,G94982CO
161058,G03726HN
161166,G88277BO
161167,G31773YH
161168,G54484EZ
161169,G85867OY
161170,G41827FX
161502,G38999IM
161505,G30606VG
161506,G56883PI
161507,G10762QF
161508,G41657OP
161509,G93959KM
161510,G48407WP
161511,G26941SV
161512,G09696KF
161513,G28237AD
161514,G31551HA
161515,G50921MG
161516,G76699LM
161517,G31176YE
161525,G67307FX
161571,G21374UJ
161730,G06305GY
161731,G90356ZC
161732,G01185VI
161748,G58390SD
164027,G71783BX
164030,G63758GB
164033,G60564VR
164038,G13918AB
164039,G09546QO
164040,G09546QO
164041,G09546QO
164042,G09546QO
164043,G74840NI
164045,G84443GI
164046,G60230HH
164047,G58161NS
164048,G58452KT
164049,G15807WA
164050,G15807WA
164051,G09546QO
164052,G58161NS
164059,G31484IM
164065,G16074ZM
164066,G18812WY
164146,G77946AR
164174,G00891MP
164175,G29966LR
164176,G69188UM
164177,G35134GE
164178,G55509JZ
164179,G07096EW
164180,G38659OK
164181,G71335GA
164433,G99874BW
164479,G08254PX
164480,G77865AH
167069,G55954SF
167070,G17963KW
167071,G02747VH
167072,G48898TH
167073,G00399LG
167186,G53190JD
167187,G88876JQ
167188,G16579HJ
167189,G19208WA
167473,G70457NB
167701,G00052MO
173896,G57458NZ
174027,G69046ZP
174030,G26934CO
174032,G49914LY
174033,G46528GO
174034,G89695AF
174035,G97896JD
174039,G75996DR
174334,G84451SS
174840,G44688AW
175430,G77916AZ
175431,G90719NY
175432,G34093GY
175433,G52392BA
175434,G67497MY
175514,G70772ME
175671,G61305QT
175672,G17443YA
178092,G58714IR
178093,G06309ED
178094,G56207OL
178095,G90305UQ
178096,G11638QI
178097,G26534RZ
178410,G19340RV
179937,G18229WT
180870,G37596HM
180941,G45273VX
181046,G70699DT
181047,G60439GQ
181048,G35234XQ
181049,G83198MH
181165,G09546QO
181166,G84563JO
181167,G14818IL
182375,G29472SF
186966,G69468PJ
187037,G56928CL
187038,G30824QL
187090,G61491DK
187201,G55220VL
187202,G80668TU
187203,G04320IE
187229,G65889KE
187231,G58161NS
187232,G60787TC
187233,G44097PS
187234,G55254KC
187235,G09546QO
187236,G67550HR
187237,G27219AA
187238,G50424ID
187239,G05032HK
187240,G81333PJ
188623,G43317EZ
188786,G00616JE
189017,G48984KQ
189018,G62699NP
189019,G17506QU
189020,G65889KE
189021,G00059MO
189022,G85184KL
189309,G39767HX
189310,G96586KV
189311,G88425VO
189312,G78528AJ
189313,G53125SB
189314,G27127BL
189316,G09546QO
189373,G98797BP
189513,G32202PQ
189514,G95866NK
189515,G13367SV
189516,G99640FK
189517,G99560WF
189518,G26425MP
189519,G50578GX
189520,G31637IG
189521,G39753DK
190357,G42730SK
190358,G01994IP
190359,G89972HD
190605,G18029AW
190607,G58605NU
190608,G73160DS
190609,G82514FI
190610,G74844SD
190611,G39753DK
190612,G94685JB
190613,G35315IX
190614,G14804CG
191036,G78074HX
191037,G39753DK
191038,G58808YO
191039,G71142DF
191040,G84224TW
191096,G21003DP
191097,G33424MJ
191098,G02876BE
191099,G04988DH
191100,G35345CB
191101,G04988DH
191102,G57509XF
191103,G04988DH
191104,G78179CO
191105,G47393EY
191106,G08219BQ
191107,G34610OW
